06.26012, -75.57867, Especie: Flacourtia indica<br>Hábito: Arbusto<br>Coord_Y: 6.2601199149<br>Coord_X: -75.578665111292239
06.26006, -75.57868, Especie: Castilla elastica<br>Hábito: Árbol<br>Coord_Y: 6.2600579846<br>Coord_X: -75.578681425931748
06.26035, -75.57850, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2603481138<br>Coord_X: -75.578501878653952
06.26035, -75.57841, Especie: Trichilia hirta<br>Hábito: Árbol<br>Coord_Y: 6.2603467253<br>Coord_X: -75.578410346836179
06.26028, -75.57845, Especie: Ceiba pentandra<br>Hábito: Árbol<br>Coord_Y: 6.2602797782<br>Coord_X: -75.578449735288217
06.26026, -75.57852, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2602597775<br>Coord_X: -75.578518942487463
06.26023, -75.57849, Especie: Aniba puchury-minor<br>Hábito: Árbol<br>Coord_Y: 6.2602301585<br>Coord_X: -75.578489173208496
06.26022, -75.57843, Especie: Margaritaria nobilis<br>Hábito: Árbol<br>Coord_Y: 6.2602245595<br>Coord_X: -75.578427314091712
06.26018, -75.57840, Especie: Swinglea glutinosa<br>Hábito: Arbusto<br>Coord_Y: 6.2601776108<br>Coord_X: -75.578398319913802
06.26017, -75.57837, Especie: Dypsis lutescens<br>Hábito: Palma<br>Coord_Y: 6.2601677849<br>Coord_X: -75.578371905458738
06.26015, -75.57837, Especie: Persea americana<br>Hábito: Árbol<br>Coord_Y: 6.2601455117<br>Coord_X: -75.578370192714729
06.26015, -75.57839, Especie: Swinglea glutinosa<br>Hábito: Arbusto<br>Coord_Y: 6.2601512167<br>Coord_X: -75.578394946252729
06.26021, -75.57853, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2602085830<br>Coord_X: -75.578531989502025
06.26016, -75.57855, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2601573791<br>Coord_X: -75.578548334787911
06.26011, -75.57855, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2601128114<br>Coord_X: -75.578552330398935
06.26011, -75.57847, Especie: Erythrina fusca<br>Hábito: Árbol<br>Coord_Y: 6.2601081083<br>Coord_X: -75.578465736609274
06.26013, -75.57838, Especie: Dypsis lutescens<br>Hábito: Palma<br>Coord_Y: 6.2601264964<br>Coord_X: -75.578383331622035
06.26009, -75.57839, Especie: Schinus terebinthifolius<br>Hábito: Árbol<br>Coord_Y: 6.2600942865<br>Coord_X: -75.578393959130409
06.26007, -75.57856, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2600665793<br>Coord_X: -75.578561268706196
06.26002, -75.57857, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2600244610<br>Coord_X: -75.578574341633171
06.25998, -75.57859, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2599839858<br>Coord_X: -75.578589892974705
06.25998, -75.57855, Especie: Pachira quinata<br>Hábito: Árbol<br>Coord_Y: 6.2599832739<br>Coord_X: -75.578550311359137
06.25997, -75.57849, Especie: Cavanillesia platanifolia<br>Hábito: Árbol<br>Coord_Y: 6.2599710717<br>Coord_X: -75.578489257993454
06.25996, -75.57842, Especie: Triplaris cf caracasana<br>Hábito: Árbol<br>Coord_Y: 6.2599588860<br>Coord_X: -75.578422432653525
06.25991, -75.57860, Especie: Couroupita guianensis<br>Hábito: Árbol<br>Coord_Y: 6.2599055650<br>Coord_X: -75.578602037662179
06.25984, -75.57862, Especie: Ormosia macrophylla<br>Hábito: Árbol<br>Coord_Y: 6.2598386911<br>Coord_X: -75.578615864469398
06.25987, -75.57855, Especie: Dilodendron costarricense<br>Hábito: Árbol<br>Coord_Y: 6.2598677538<br>Coord_X: -75.578551630650892
06.25989, -75.57848, Especie: Pterygota excelsa<br>Hábito: Árbol<br>Coord_Y: 6.2598885890<br>Coord_X: -75.578479127586746
06.25978, -75.57862, Especie: Licania tomentosa<br>Hábito: Árbol<br>Coord_Y: 6.2597834040<br>Coord_X: -75.578617355746772
06.25981, -75.57853, Especie: Castilla elastica<br>Hábito: Árbol<br>Coord_Y: 6.2598129335<br>Coord_X: -75.578534158056499
06.25980, -75.57849, Especie: Bischofia javanica<br>Hábito: Árbol<br>Coord_Y: 6.2598002610<br>Coord_X: -75.578493305441015
06.25982, -75.57846, Especie: Swinglea glutinosa<br>Hábito: Arbusto<br>Coord_Y: 6.2598222207<br>Coord_X: -75.578460385164689
06.25979, -75.57846, Especie: Bischofia javanica<br>Hábito: Árbol<br>Coord_Y: 6.2597900544<br>Coord_X: -75.578455758164864
06.25979, -75.57838, Especie: Citrus sp<br>Hábito: Arbusto<br>Coord_Y: 6.2597865441<br>Coord_X: -75.578384834745449
06.25977, -75.57851, Especie: Terminalia ivorensis<br>Hábito: Árbol<br>Coord_Y: 6.2597663950<br>Coord_X: -75.578505989647482
06.25975, -75.57847, Especie: Terminalia superba<br>Hábito: Árbol<br>Coord_Y: 6.2597504138<br>Coord_X: -75.578468013599249
06.25972, -75.57861, Especie: Eriotheca gracilipes<br>Hábito: Árbol<br>Coord_Y: 6.2597165843<br>Coord_X: -75.578612217500662
06.25966, -75.57860, Especie: Godmania aesculifolia<br>Hábito: Árbol<br>Coord_Y: 6.2596580463<br>Coord_X: -75.578596383442019
06.25968, -75.57852, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2596821890<br>Coord_X: -75.578521416129291
06.25972, -75.57850, Especie: Bischofia javanica<br>Hábito: Árbol<br>Coord_Y: 6.2597234940<br>Coord_X: -75.578504218006231
06.25971, -75.57845, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2597087834<br>Coord_X: -75.578454701549916
06.25971, -75.57842, Especie: Psidium guajava<br>Hábito: Árbol<br>Coord_Y: 6.2597072275<br>Coord_X: -75.578421714137434
06.25959, -75.57848, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2595865544<br>Coord_X: -75.578484770341674
06.25963, -75.57845, Especie: Annona muricata<br>Hábito: Árbol<br>Coord_Y: 6.2596312326<br>Coord_X: -75.578451181837039
06.25956, -75.57851, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2595620298<br>Coord_X: -75.578509804092036
06.25955, -75.57850, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2595485731<br>Coord_X: -75.578502893999996
06.25953, -75.57845, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2595303638<br>Coord_X: -75.578450584635092
06.25951, -75.57840, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2595086457<br>Coord_X: -75.578398986757605
