x;y;species;natural;denotation;age;family;genus;leaf_type;health;object:city;relation:site
-75,57722349;6,26391183;Zygia longifolia;tree;university;mature;Fabaceae;Zygia; ; ;Medellin;Volador
-75,57722773;6,26384904;Melicoccus bijugatus;tree;university;young;Sapindaceae;Melicoccus; ; ;Medellin;Volador
-75,57723942;6,26363948;Mangifera indica;tree;university;young;Anacardiaceae;Mangifera; ; ;Medellin;Volador
-75,57719356;6,26368403;Eriobotrya japonica;tree;university;young;Rosaceae;Rhaphiolepis; ; ;Medellin;Volador
-75,57743331;6,26363888;Annona muricata;tree;university;young;Annonaceae;Annona; ; ;Medellin;Volador
-75,57694246;6,26374564;Persea caerulea;tree;university;young;Lauraceae;Persea; ; ;Medellin;Volador
-75,57694893;6,26374554;Persea caerulea;tree;university;mature;Lauraceae;Persea; ; ;Medellin;Volador
-75,57760617;6,26335907;Acrocarpus fraxinifolius;tree;university;new planting;Fabaceae;Acrocarpus; ; ;Medellin;Volador
-75,57762643;6,263382;Acrocarpus fraxinifolius;tree;university;new planting;Fabaceae;Acrocarpus; ; ;Medellin;Volador
-75,57913595;6,26293175;Persea americana;tree;university;mature;Lauraceae;Persea; ; ;Medellin;Volador
-75,57915117;6,2629416;Citrus sp.;tree;university;mature;Rutaceae;Citrus; ; ;Medellin;Volador
-75,57887867;6,26267405;Syzygium jambos;tree;university;mature;Myrtaceae;Syzygium; ; ;Medellin;Volador
-75,57941696;6,26135166;Swietenia macrophylla;tree;university;mature;Meliaceae;Swietenia; ; ;Medellin;Volador
-75,57943184;6,26135166;Swietenia macrophylla;tree;university;mature;Meliaceae;Swietenia; ; ;Medellin;Volador
-75,57755456;6,26361531;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57777579;6,26361676;Psidium guajava;tree;university;mature;Myrtaceae;Psidium; ; ;Medellin;Volador
-75,57774345;6,263574;Tabebuia rosea;tree;university;mature;Bignoniaceae;Tabebuia; ; ;Medellin;Volador
-75,57766785;6,26340225;Anacardium excelsum;tree;university;new planting;Anacardiaceae;Anacardium; ; ;Medellin;Volador
-75,57590128;6,26267607;Platymiscium sp.;tree;university;mature;Fabaceae;Platymiscium; ; ;Medellin;Volador
-75,57591084;6,26273347;Fabaceae;tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57837585;6,26209469;Flacourtia indica;tree;university;mature;Salicaceae;Flacourtia; ; ;Medellin;Volador
-75,57576573;6,26260708;Melicoccus bijugatus;tree;university;young;Sapindaceae;Melicoccus; ; ;Medellin;Volador
-75,57948656;6,26073877;Lauraceae;tree;university;mature;Lauraceae; ; ; ;Medellin;Volador
-75,57945335;6,2608125;Dipteryx odorata;tree;university;young;Fabaceae;Dipteryx; ; ;Medellin;Volador
-75,57943164;6,26073409;Chrysophylum imperialis;tree;university;young;Sapotaceae;Chrysophylum; ; ;Medellin;Volador
-75,5784221;6,26091257;Psidium guajava;tree;university;mature;Myrtaceae;Psidium; ; ;Medellin;Volador
-75,57771556;6,26250391;Phoenix sp.;tree;university;mature;Arecaceae;Phoenix; ; ;Medellin;Volador
-75,57761778;6,26245104;Schefflera actinophylla;tree;university;mature;Araliaceae;Heptapleurum; ; ;Medellin;Volador
-75,57804917;6,26207747;Flacourtia indica;tree;university;mature;Salicaceae;Flacourtia; ; ;Medellin;Volador
-75,57772189;6,26209524;Caesalpinia pluviosa;tree;university;young;Fabaceae;Caesalpinia; ; ;Medellin;Volador
-75,57778074;6,26207422;Persea americana;tree;university;young;Lauraceae;Persea; ; ;Medellin;Volador
-75,57768728;6,26208259;Malpighia glabra;tree;university;mature;Malpighiaceae;Malpighia; ; ;Medellin;Volador
-75,57752526;6,26238793;Calycophyllum candidissimum;tree;university;young;Rubiaceae;Calycophyllum; ; ;Medellin;Volador
-75,5774174;6,26243022;Persea americana;tree;university;young;Lauraceae;Persea; ; ;Medellin;Volador
-75,57913173;6,26199743;Andira inermis;tree;university; ;Fabaceae;Andira; ;0;Medellin;Volador
-75,57914258;6,26133534;Elaeis guineensis;tree;university;mature;Arecaceae;Elaeis;palm; ;Medellin;Volador
-75,57551954;6,26091787;Roystonea regia;tree;university;mature;Arecaceae;Roystonea;palm; ;Medellin;Volador
-75,57900765;6,26082825;Parkia pendula;tree;university;young;Fabaceae;Parkia; ; ;Medellin;Volador
-75,57894317;6,26082825;Parkia pendula;tree;university;mature;Fabaceae;Parkia; ; ;Medellin;Volador
-75,57706044;6,26362105;Trichanthera gigantea;tree;university;mature;Acanthaceae;Trichanthera; ; ;Medellin;Volador
-75,57692111;6,2604744;Hymenaea sp.;tree;university;young;Fabaceae;Hymanea; ; ;Medellin;Volador
-75,57703662;6,26358705;Acnistus arborescens;tree;university;mature;Solanaceae;Iochroma; ; ;Medellin;Volador
-75,57725868;6,26499355;Acnistus arborescens;tree;university;young;Solanaceae;Iochroma; ; ;Medellin;Volador
-75,57598743;6,26099702;Livistona chinensis;tree;university;mature;Arecaceae;Livistona;palm; ;Medellin;Volador
-75,57601727;6,26102227;Orania palindan;tree;university;mature;Arecaceae;Orania;palm; ;Medellin;Volador
-75,57580332;6,26138246;Bauhinia sp.;tree;university;young;Fabaceae;Bauhinia; ; ;Medellin;Volador
-75,57641464;6,2612178;Livistona chinensis;tree;university;mature;Arecaceae;Livistona;palm; ;Medellin;Volador
-75,57578726;6,2611301;Aspidosperma spruceanum;tree;university;mature;Apocynaceae;Aspidosperma; ; ;Medellin;Volador
-75,5775562;6,2640938;Schizolobium parahyba;tree;university;young;Fabaceae;Schizolobium; ; ;Medellin;Volador
-75,57765279;6,26434674;Murraya paniculata;tree;university;mature;Rutaceae;Murraya; ; ;Medellin;Volador
-75,57717188;6,26526373;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57716268;6,26524534;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57713262;6,26536184;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57714897;6,26530724;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57711784;6,26535508;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57713825;6,26536469;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57711238;6,26539359;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57711423;6,2653743;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57734015;6,26476333;pachira speciosa;tree;university;young;Malvaceae;Pachira; ; ;Medellin;Volador
-75,57719647;6,26496645;Acca sellowiana;tree;university;young;Myrtaceae;Feijoa; ; ;Medellin;Volador
-75,57728152;6,26468401;Inga edulis;tree;university;mature;Fabaceae;Inga; ; ;Medellin;Volador
-75,57730954;6,26471891;Chrysophyllum cainito;tree;university;mature;Sapotaceae;Chrysophyllum; ; ;Medellin;Volador
-75,57721632;6,26463698;Brownea grandiceps;tree;university;young;Fabaceae;Brownea; ; ;Medellin;Volador
-75,57725259;6,26466118;pachira speciosa;tree;university;new planting;Malvaceae;Pachira; ; ;Medellin;Volador
-75,57585675;6,25963801;Calliandra haematocephala;tree;university;mature;Fabaceae;Calliandra; ; ;Medellin;Volador
-75,57613232;6,25972574;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57674267;6,25992251;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57671235;6,25993621;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
